Car Model,Condition,Mileage,Price (USD),Monthly Payment,Dealer Name
2025 Subaru Crosstrek Base,New,,"$27,953",Est. $525/mo,Grand Subaru
2025 Lexus IS 350 Base,New,,"$52,994",Est. $996/mo,Fields Lexus Glenview
2021 Mercedes-Benz GLS 450 4MATIC,Used,"49,972 mi.","$50,969",Est. $958/mo,Autohaus on Edens
2014 Ford Explorer Sport,Used,"128,974 mi.","$11,998",Est. $226/mo,Mr. C's Auto Mart
2025 Jeep Grand Cherokee Limited X,New,,"$46,532",Est. $875/mo,DuPage CDJR
2022 Ford Transit-150 Base,Used,"14,210 mi.","$34,995",Est. $658/mo,Jerry Haggerty Chevrolet
2025 Chevrolet Equinox 1LT,New,,"$33,535",Est. $630/mo,Tasca Chevrolet Wheeling
2019 Ford Transit-150 Base,Used,"105,899 mi.","$18,995",Est. $357/mo,Affinity Auto Sales
2021 Ford F-150 XLT,Used,"67,031 mi.","$29,200",Est. $549/mo,Webb Ford
2025 Mercedes-Benz Sprinter 2500 High Roof,New,,"$65,625","Est. $1,234/mo",Mercedes-Benz of Hoffman Estates
2021 Jeep Wrangler Unlimited 4xe Sahara High Altitude,Used,"38,949 mi.","$32,677",Est. $614/mo,Castle Chrysler Dodge Jeep Ram of Naperville
2025 Audi Q7 45 Premium Plus,Audi Certified,"14,480 mi.","$62,444","Est. $1,174/mo",Fletcher Jones Audi
2021 Toyota Corolla LE,Used,"89,145 mi.","$15,995",Est. $301/mo,Chrysler Dodge Jeep Ram of Chicago
2017 BMW 430 Gran Coupe i xDrive,Used,"48,118 mi.","$18,994",Est. $357/mo,Porsche Lincolnwood
2023 Nissan Rogue SV,Used,"36,483 mi.","$22,998",Est. $432/mo,CarMax Lubbock
2025 Nissan Rogue S,New,,"$32,895",Est. $618/mo,Al Piemonte Nissan
2024 Ford Bronco Wildtrak,New,,"$62,551","Est. $1,176/mo",Napleton Ford of Oak Lawn
2021 Nissan Kicks S,Used,"10,408 mi.","$17,998",Est. $338/mo,CarMax Boise (Meridian)
2025 Volkswagen Jetta GLI 2.0T Autobahn,New,,"$34,237",Est. $644/mo,Jennings Chevy / VW
2020 Ferrari F8 Tributo Base,Ferrari Certified,"2,403 mi.","$344,999","Est. $6,485/mo",Continental Ferrari
2024 Land Rover Range Rover P615 SV,New,,"$269,995","Est. $5,075/mo",Jaguar Land Rover Hinsdale
2023 Nissan Sentra SV,Used,"21,031 mi.","$19,695",Est. $370/mo,DriveTime of West Chicago
2009 Volkswagen Passat Komfort,Used,"78,201 mi.","$6,945",Est. $131/mo,Top Gear Motors
2025 Chevrolet Equinox 1LT,New,,"$28,723",Est. $540/mo,Castle Chevrolet North
2020 Ford Explorer Limited,Ford Certified,"86,848 mi.","$23,400",Est. $440/mo,Packey Webb Ford
2025 Hyundai Tucson SEL Convenience,New,,"$34,154",Est. $642/mo,Family Hyundai
2019 Cadillac XT4 Luxury,Used,"49,266 mi.","$20,495",Est. $385/mo,Woodfield Lexus
2025 Mercedes-Benz Sprinter 2500 High Roof,New,,"$68,020","Est. $1,279/mo",Mercedes-Benz of Hoffman Estates
2018 Acura TLX V6 A-Spec,Used,"110,482 mi.","$21,495",Est. $404/mo,Conway Imports
2024 Volkswagen Tiguan 2.0T SE 4MOTION,New,,"$31,718",Est. $596/mo,Bill Jacobs VW
2025 BMW M850 xDrive,Used,"4,785 mi.","$124,640","Est. $2,343/mo",Knauz Auto Park
2025 Land Rover Defender 110 P500 X-Dynamic SE,New,,"$105,768","Est. $1,988/mo",Land Rover Jaguar Naperville
2017 McLaren 570GT Base,Used,"25,276 mi.","$113,900","Est. $2,141/mo",Turyan
2013 Lexus GS 350 Base,Used,"97,624 mi.","$16,985",Est. $319/mo,Luxury Auto Selection
2013 Honda CR-Z EX,Used,"140,345 mi.","$10,830",Est. $204/mo,McGrath City Honda
2022 Hyundai Santa Cruz Limited,Used,"32,501 mi.","$29,998",Est. $564/mo,CarMax Jackson (TN)
2017 Nissan Rogue Hybrid SL,Used,"69,478 mi.","$19,998",Est. $376/mo,CarMax Oak Lawn
2014 Honda Ridgeline RTL,Used,"45,942 mi.","$26,998",Est. $507/mo,CarMax Capitol Expressway
2023 Tesla Model Y Long Range Dual Motor All-Wheel Drive,Used,"38,962 mi.","$34,995",Est. $658/mo,Baha Auto Group
2017 Buick Regal Turbo Sport Touring,Used,"137,781 mi.","$9,995",Est. $188/mo,Omni Auto Sales Inc.
2016 BMW M2 Base,Used,"36,912 mi.","$25,990",Est. $489/mo,Fields BMW of Northfield
2023 Chevrolet Blazer 2LT,Used,"23,377 mi.","$24,998",Est. $470/mo,CarMax Glencoe (Edens Expy)
2017 Lamborghini Huracan LP580-2,Used,"12,955 mi.","$199,900","Est. $3,757/mo",carneed
2017 Toyota Yaris iA Base,Used,"46,127 mi.","$13,999",Est. $263/mo,Your Choice Auto Sales of Posen
2024 Bentley Bentayga Hybrid Hybrid,New,,"$236,490","Est. $4,445/mo",Perillo Downers Grove
2018 Ford Edge Sport,Used,"60,887 mi.","$20,799",Est. $391/mo,Bill Kay Downers Grove Nissan
2018 Jeep Wrangler JK Sport,Used,"81,506 mi.","$20,595",Est. $387/mo,Autos of Chicago
2007 Dodge Ram 1500 Laramie Quad Cab,Used,"73,933 mi.","$13,900",Est. $261/mo,Dan
2021 Lotus Evora GT RWD,Used,"12,285 mi.","$79,800","Est. $1,500/mo",Diamond Motorworks
2008 Lexus LS 460 Base,Used,"150,424 mi.","$9,995",Est. $188/mo,Affinity Auto Sales
2017 Lamborghini Aventador LP 700-4 Miura Edition,Used,528 mi.,"$539,800","Est. $10,146/mo",Diamond Motorworks
2017 Lexus GS 350 350,Used,"67,363 mi.","$25,263",Est. $475/mo,Napleton's Palatine Mazda
2019 Lexus GS 350 F Sport,Used,"77,893 mi.","$30,792",Est. $579/mo,BMW of Schererville
2024 BMW ALPINA XB7 ALPINA XB7,BMW Certified,"3,895 mi.","$129,995","Est. $2,443/mo",Knauz Auto Park
2021 Acura TLX Technology,Used,"33,705 mi.","$26,380",Est. $496/mo,McGrath Acura of Downtown Chicago
2025 Mazda CX-50 2.5 S Premium Plus Package,Used,971 mi.,"$34,998",Est. $658/mo,McGrath City Mazda
2024 Mazda CX-50 2.5 Turbo,Used,911 mi.,"$32,671",Est. $614/mo,McGrath City Mazda
2019 Lincoln MKZ Hybrid Reserve,Used,"52,957 mi.","$21,998",Est. $413/mo,CarMax Killeen
2023 Jeep Grand Cherokee L Limited,New,,"$42,469",Est. $798/mo,Hawk CDJR
2024 Jeep Compass Sport,Used,"5,447 mi.","$25,430",Est. $478/mo,Berman Chrysler Dodge Jeep Ram
2025 Jeep Grand Cherokee Limited X,New,,"$44,314",Est. $833/mo,Jack Phelan Chrysler Dodge Jeep RAM
2024 Ford Transit-250 148 WB Medium Roof Cargo,New,,"$55,655","Est. $1,046/mo",Golf Mill Ford
2020 Chevrolet Malibu RS,Used,"57,398 mi.","$19,998",Est. $376/mo,CarMax Chattanooga
2025 Chevrolet Equinox LT,New,,"$34,490",Est. $648/mo,Jennings Chevy / VW
2024 Land Rover Defender 90 P400 X-Dynamic SE,New,,"$80,163","Est. $1,507/mo",Jaguar Land Rover Hinsdale
2024 Ford Bronco Wildtrak,New,,"$64,031","Est. $1,204/mo",Roesch Ford
2015 Volkswagen Passat 2.0L TDI DSG SE w/Sunroof,Used,"181,349 mi.","$5,799",Est. $109/mo,Your Choice Auto Sales of Posen
2024 Ford Bronco Outer Banks,New,,"$50,648",Est. $952/mo,Tasca Ford Midlothian
2012 Toyota Highlander SE,Used,"97,609 mi.","$14,950",Est. $281/mo,Chicago Motor Credit
2022 Ford Explorer XLT,Used,873 mi.,"$38,275",Est. $719/mo,Packey Webb Ford
2018 BMW 430 Gran Coupe i xDrive,Used,"58,627 mi.","$20,000",Est. $376/mo,Napleton River Oaks Honda
2021 Ford F-150 XLT,Used,"47,926 mi.","$35,590",Est. $669/mo,Joe Rizza Ford Lincoln
2019 Honda Ridgeline RTL-T,Honda Certified,"43,433 mi.","$28,253",Est. $531/mo,Honda of Lisle
2022 GMC Sierra 1500 Limited Denali,Used,"42,459 mi.","$45,775",Est. $860/mo,Circle Buick GMC
2024 Mercedes-Benz GLB 250 4MATIC,Mercedes-Benz Certified,"5,065 mi.","$41,499",Est. $780/mo,Mercedes-Benz of Hoffman Estates
2025 Chevrolet Equinox 1LT,New,,"$29,253",Est. $550/mo,The Chevrolet Exchange
2024 Volkswagen Tiguan 2.0T SE 4MOTION,New,,"$28,808",Est. $541/mo,Volkswagen of Downtown Chicago
2024 Ford Bronco Badlands,New,,"$59,299","Est. $1,115/mo",Murgado Ford of Chicago
2024 Volkswagen Tiguan 2.0T SE R-Line Black 4MOTION,New,,"$34,299",Est. $645/mo,City Volkswagen of Chicago
2019 BMW 530e iPerformance,Used,"44,050 mi.","$22,998",Est. $432/mo,CarMax Augusta
2025 Chevrolet Equinox 1LT,New,,"$34,690",Est. $652/mo,Mike Anderson Chevrolet of Chicago
2024 Jeep Grand Cherokee L Limited,New,,"$45,845",Est. $862/mo,Hawk CDJR
2024 Volkswagen Tiguan 2.0T S 4MOTION,New,,"$30,936",Est. $581/mo,City Volkswagen Of Evanston
2017 BMW 650 Gran Coupe i,Used,"74,191 mi.","$27,950",Est. $525/mo,Auto Park Imports
2017 Lexus RC 200t,Used,"110,642 mi.","$19,998",Est. $376/mo,CarMax Ft. Lauderdale
2025 Acura RDX Technology Package,New,,"$49,250",Est. $926/mo,McGrath Acura of Morton Grove
2025 Acura RDX A-Spec Advance,New,,"$56,400","Est. $1,060/mo",McGrath Acura of Morton Grove
2024 Ford Bronco Outer Banks,New,,"$53,304","Est. $1,002/mo",Roesch Ford
2024 Acura Integra Type S,New,,"$53,595","Est. $1,007/mo",McGrath Acura of Westmont
2018 BMW X2 xDrive28i,Used,"49,614 mi.","$18,775",Est. $353/mo,Highline Auto Sales
2023 Hyundai Santa Fe SEL,Used,"37,403 mi.","$24,998",Est. $470/mo,CarMax Glencoe (Edens Expy)
2025 Mercedes-Benz GLA 250 Base 4MATIC,Mercedes-Benz Certified,"2,716 mi.","$42,424",Est. $797/mo,Autohaus on Edens
2024 Ford Bronco Outer Banks,New,,"$53,854","Est. $1,012/mo",Tasca Ford Midlothian
2025 Volvo XC40 Ultra Bright Theme,New,,"$50,275",Est. $945/mo,Volvo Cars Lisle
2025 Hyundai Palisade XRT,New,,"$45,563",Est. $856/mo,Webb Hyundai Highland
2025 Nissan Versa 1.6 SR,New,,"$18,251",Est. $343/mo,Arlington Nissan
2024 Ford Bronco Wildtrak,New,,"$63,363","Est. $1,191/mo",Hawk Ford of Carol Stream
2021 Honda CR-V Hybrid Touring,Used,"63,491 mi.","$27,595",Est. $519/mo,Cadillac of Naperville
2024 Volkswagen Tiguan 2.0T SE R-Line Black 4MOTION,New,,"$31,226",Est. $587/mo,Volkswagen of Downtown Chicago
2003 INFINITI G35 Base,Used,"335,000 mi.","$2,500",,Pete
2024 Volkswagen Tiguan 2.0T SE 4MOTION,New,,"$28,524",Est. $536/mo,Volkswagen of Downtown Chicago
2018 INFINITI QX30,Used,"68,238 mi.","$16,998",Est. $319/mo,CarMax Amarillo
2022 BMW 840 i,Used,"59,028 mi.","$49,949",Est. $939/mo,Midway Dodge
2025 Chevrolet Equinox 1LT,New,,"$31,345",Est. $589/mo,Mike Anderson Chevrolet of Chicago
2025 Chevrolet Equinox FWD ACTIV,New,,"$35,430",Est. $666/mo,Currie Motors Chevrolet
2025 Chevrolet Equinox AWD ACTIV,New,,"$36,685",Est. $690/mo,Currie Motors Chevrolet
2024 Ford Bronco Wildtrak,New,,"$59,805","Est. $1,124/mo",Golf Mill Ford
2020 Ford Fusion SE,Ford Certified,"33,467 mi.","$19,998",Est. $376/mo,Golf Mill Ford
2013 Toyota 4Runner Limited,Used,"111,037 mi.","$26,998",Est. $507/mo,CarMax Amarillo
2024 Ford Bronco Outer Banks,New,,"$55,884","Est. $1,050/mo",Roesch Ford
2021 INFINITI QX50 Luxe,INFINITI Certified,"37,821 mi.","$26,583",Est. $500/mo,INFINITI of Clarendon Hills
2007 BMW 328 328xi,Used,"120,056 mi.","$6,495",Est. $122/mo,Ed Napleton Acura Kia
2025 Hyundai Tucson SEL Convenience,New,,"$33,855",Est. $636/mo,Family Hyundai
2019 Chevrolet Silverado 1500 High Country,Used,"119,800 mi.","$29,999",Est. $564/mo,Dick Wickstrom Chevrolet
2022 BMW X5 xDrive40i,Used,"31,369 mi.","$43,750",Est. $822/mo,BMW of Orland Park
2024 Ford Bronco Outer Banks,New,,"$53,040",Est. $997/mo,Schaumburg Ford
2025 Nissan Versa 1.6 SR,New,,"$18,172",Est. $342/mo,Arlington Nissan
2025 Chevrolet Equinox 1LT,New,,"$41,940",Est. $788/mo,Advantage Chevrolet of Bolingbrook
2024 Nissan Versa 1.6 SR,New,,"$20,057",Est. $377/mo,Woodfield Nissan
2025 Chevrolet Equinox LT,New,,"$29,966",Est. $563/mo,Phillips Chevrolet
2024 Volkswagen Tiguan 2.0T SE R-Line Black,New,,"$29,501",Est. $555/mo,Volkswagen of Downtown Chicago
2024 Volkswagen Tiguan 2.0T S 4MOTION,New,,"$25,082",Est. $471/mo,Volkswagen of Downtown Chicago
2022 Volvo XC60 Recharge Plug-In Hybrid T8 Inscription,Volvo Certified,"21,666 mi.","$46,798",Est. $880/mo,The Autobarn Volvo Cars of Oak Park
2016 Land Rover Range Rover Evoque HSE,Used,"38,460 mi.","$23,998",Est. $451/mo,CarMax Birmingham
2018 Buick Envision Premium II,Used,"84,863 mi.","$17,995",Est. $338/mo,Ray Buick
2025 Nissan Rogue Rock Creek,New,,"$38,725",Est. $728/mo,Al Piemonte Nissan
2021 BMW X3 XDrive30i,Used,"35,520 mi.","$29,998",Est. $564/mo,CarMax Warner Robins
2024 Ford Transit-250 148 WB Medium Roof Cargo,New,,"$55,190","Est. $1,037/mo",Golf Mill Ford
2025 Chevrolet Equinox LT,New,,"$32,490",Est. $611/mo,Jennings Chevy / VW
2024 RAM 3500 Tradesman Crew Cab 4x4 8' Box,New,,"$63,496","Est. $1,193/mo",Larry Roesch Dodge Chrysler Jeep RAM
2025 Subaru Crosstrek Base,New,,"$27,953",Est. $525/mo,Grand Subaru
2025 Lexus IS 350 Base,New,,"$52,994",Est. $996/mo,Fields Lexus Glenview
2021 Mercedes-Benz GLS 450 4MATIC,Used,"49,972 mi.","$50,969",Est. $958/mo,Autohaus on Edens
2014 Ford Explorer Sport,Used,"128,974 mi.","$11,998",Est. $226/mo,Mr. C's Auto Mart
2025 Chevrolet Equinox 1LT,New,,"$28,723",Est. $540/mo,Castle Chevrolet North
2025 Jeep Grand Cherokee Limited X,New,,"$46,532",Est. $875/mo,DuPage CDJR
2022 Ford Transit-150 Base,Used,"14,210 mi.","$34,995",Est. $658/mo,Jerry Haggerty Chevrolet
2025 Chevrolet Equinox 1LT,New,,"$33,535",Est. $630/mo,Tasca Chevrolet Wheeling
2019 Ford Transit-150 Base,Used,"105,899 mi.","$18,995",Est. $357/mo,Affinity Auto Sales
2025 Mercedes-Benz Sprinter 2500 High Roof,New,,"$65,625","Est. $1,234/mo",Mercedes-Benz of Hoffman Estates
2021 Jeep Wrangler Unlimited 4xe Sahara High Altitude,Used,"38,949 mi.","$32,677",Est. $614/mo,Castle Chrysler Dodge Jeep Ram of Naperville
2024 Volkswagen Tiguan 2.0T SE 4MOTION,New,,"$31,718",Est. $596/mo,Bill Jacobs VW
2025 Audi Q7 45 Premium Plus,Audi Certified,"14,480 mi.","$62,444","Est. $1,174/mo",Fletcher Jones Audi
2021 Toyota Corolla LE,Used,"89,145 mi.","$15,995",Est. $301/mo,Chrysler Dodge Jeep Ram of Chicago
2017 BMW 430 Gran Coupe i xDrive,Used,"48,118 mi.","$18,994",Est. $357/mo,Porsche Lincolnwood
2017 Toyota 86 860 Special Edition,Used,"105,154 mi.","$19,998",Est. $376/mo,CarMax Chattanooga
2025 Nissan Rogue S,New,,"$32,895",Est. $618/mo,Al Piemonte Nissan
2024 Ford Bronco Wildtrak,New,,"$62,551","Est. $1,176/mo",Napleton Ford of Oak Lawn
2022 Hyundai Tucson SEL,Used,"20,915 mi.","$22,998",Est. $432/mo,CarMax Columbus
2025 Volkswagen Jetta GLI 2.0T Autobahn,New,,"$34,237",Est. $644/mo,Jennings Chevy / VW
2020 Ferrari F8 Tributo Base,Ferrari Certified,"2,403 mi.","$344,999","Est. $6,485/mo",Continental Ferrari
2024 Land Rover Range Rover P615 SV,New,,"$269,995","Est. $5,075/mo",Jaguar Land Rover Hinsdale
2024 Ford Bronco Wildtrak,New,,"$64,031","Est. $1,204/mo",Roesch Ford
2023 Nissan Sentra SV,Used,"21,031 mi.","$19,695",Est. $370/mo,DriveTime of West Chicago
2024 Ford Bronco Outer Banks,New,,"$50,648",Est. $952/mo,Tasca Ford Midlothian
2009 Volkswagen Passat Komfort,Used,"78,201 mi.","$6,945",Est. $131/mo,Top Gear Motors
2020 Ford Explorer Limited,Ford Certified,"86,848 mi.","$23,400",Est. $440/mo,Packey Webb Ford
2025 Hyundai Tucson SEL Convenience,New,,"$34,154",Est. $642/mo,Family Hyundai
2019 Cadillac XT4 Luxury,Used,"49,266 mi.","$20,495",Est. $385/mo,Woodfield Lexus
2025 Mercedes-Benz Sprinter 2500 High Roof,New,,"$68,020","Est. $1,279/mo",Mercedes-Benz of Hoffman Estates
2018 Acura TLX V6 A-Spec,Used,"110,482 mi.","$21,495",Est. $404/mo,Conway Imports
2025 BMW M850 xDrive,Used,"4,785 mi.","$124,640","Est. $2,343/mo",Knauz Auto Park
2025 Land Rover Defender 110 P500 X-Dynamic SE,New,,"$105,768","Est. $1,988/mo",Land Rover Jaguar Naperville
2021 Acura TLX Technology,Used,"33,705 mi.","$26,380",Est. $496/mo,McGrath Acura of Downtown Chicago
2024 Ford Bronco Badlands,New,,"$59,299","Est. $1,115/mo",Murgado Ford of Chicago
2025 Mazda CX-50 2.5 S Premium Plus Package,Used,971 mi.,"$34,998",Est. $658/mo,McGrath City Mazda
2023 Mercedes-Benz CLA 250,Used,"24,074 mi.","$34,998",Est. $658/mo,CarMax Tupelo
2024 Mazda CX-50 2.5 Turbo,Used,911 mi.,"$32,598",Est. $613/mo,McGrath City Mazda
2024 Volkswagen Tiguan 2.0T SE R-Line Black 4MOTION,New,,"$34,299",Est. $645/mo,City Volkswagen of Chicago
2023 Jeep Grand Cherokee L Limited,New,,"$42,469",Est. $798/mo,Hawk CDJR
2024 Jeep Grand Cherokee L Limited,New,,"$45,845",Est. $862/mo,Hawk CDJR
2024 Jeep Compass Sport,Used,"5,447 mi.","$25,430",Est. $478/mo,Berman Chrysler Dodge Jeep Ram
2019 Jeep Cherokee Latitude,Used,"43,565 mi.","$18,998",Est. $357/mo,CarMax Salisbury
2025 Jeep Grand Cherokee Limited X,New,,"$44,314",Est. $833/mo,Jack Phelan Chrysler Dodge Jeep RAM
2024 Ford Transit-250 148 WB Medium Roof Cargo,New,,"$55,655","Est. $1,046/mo",Golf Mill Ford
2025 Chevrolet Equinox LT,New,,"$34,490",Est. $648/mo,Jennings Chevy / VW
2024 Land Rover Defender 90 P400 X-Dynamic SE,New,,"$80,163","Est. $1,507/mo",Jaguar Land Rover Hinsdale
2015 Volkswagen Passat 2.0L TDI DSG SE w/Sunroof,Used,"181,349 mi.","$5,799",Est. $109/mo,Your Choice Auto Sales of Posen
2012 Toyota Highlander SE,Used,"97,609 mi.","$13,950",Est. $262/mo,Chicago Motor Credit
2022 Ford Explorer XLT,Used,873 mi.,"$38,275",Est. $719/mo,Packey Webb Ford
2021 Ford F-150 XLT,Used,"47,926 mi.","$35,590",Est. $669/mo,Joe Rizza Ford Lincoln
2019 Honda Ridgeline RTL-T,Honda Certified,"43,433 mi.","$28,253",Est. $531/mo,Honda of Lisle
2025 Nissan Versa 1.6 SR,New,,"$18,251",Est. $343/mo,Arlington Nissan
2024 Mercedes-Benz GLB 250 4MATIC,Mercedes-Benz Certified,"5,065 mi.","$41,499",Est. $780/mo,Mercedes-Benz of Hoffman Estates
2025 Chevrolet Equinox 1LT,New,,"$29,253",Est. $550/mo,The Chevrolet Exchange
2024 Volkswagen Tiguan 2.0T SE 4MOTION,New,,"$28,808",Est. $541/mo,Volkswagen of Downtown Chicago
2024 Volkswagen Tiguan 2.0T SE R-Line Black 4MOTION,New,,"$31,226",Est. $587/mo,Volkswagen of Downtown Chicago
2025 Chevrolet Equinox 1LT,New,,"$34,690",Est. $652/mo,Mike Anderson Chevrolet of Chicago
2019 Cadillac XT4 Premium Luxury,Used,"20,841 mi.","$27,998",Est. $526/mo,CarMax Kenosha
2024 Volkswagen Tiguan 2.0T S 4MOTION,New,,"$30,936",Est. $581/mo,City Volkswagen Of Evanston
2022 Dodge Charger SXT,Used,"68,337 mi.","$20,459",Est. $385/mo,Sherman Dodge Chrysler Jeep RAM
2017 BMW 650 Gran Coupe i,Used,"74,191 mi.","$27,950",Est. $525/mo,Auto Park Imports
2021 Genesis GV80,Used,"77,123 mi.","$33,998",Est. $639/mo,CarMax Charleston
2025 Acura RDX Technology Package,New,,"$49,250",Est. $926/mo,McGrath Acura of Morton Grove
2025 Acura RDX A-Spec Advance,New,,"$56,400","Est. $1,060/mo",McGrath Acura of Morton Grove
2024 Ford Bronco Outer Banks,New,,"$53,304","Est. $1,002/mo",Roesch Ford
2024 Acura Integra Type S,New,,"$53,595","Est. $1,007/mo",McGrath Acura of Westmont
2018 BMW X2 xDrive28i,Used,"49,614 mi.","$18,775",Est. $353/mo,Highline Auto Sales
2023 Hyundai Santa Fe SEL,Used,"37,403 mi.","$24,998",Est. $470/mo,CarMax Glencoe (Edens Expy)
2025 Mercedes-Benz GLA 250 Base 4MATIC,Mercedes-Benz Certified,"2,716 mi.","$42,424",Est. $797/mo,Autohaus on Edens
2024 Ford Bronco Outer Banks,New,,"$53,854","Est. $1,012/mo",Tasca Ford Midlothian
2025 Volvo XC40 Ultra Bright Theme,New,,"$50,275",Est. $945/mo,Volvo Cars Lisle
2025 Hyundai Palisade XRT,New,,"$45,563",Est. $856/mo,Webb Hyundai Highland
2024 Ford Bronco Wildtrak,New,,"$63,363","Est. $1,191/mo",Hawk Ford of Carol Stream
2025 Chevrolet Equinox 1LT,New,,"$41,940",Est. $788/mo,Advantage Chevrolet of Bolingbrook
2025 Chevrolet Equinox LT,New,,"$29,966",Est. $563/mo,Phillips Chevrolet
2021 Honda CR-V Hybrid Touring,Used,"63,491 mi.","$27,595",Est. $519/mo,Cadillac of Naperville
2003 INFINITI G35 Base,Used,"335,000 mi.","$2,500",,Pete
2024 Volkswagen Tiguan 2.0T SE 4MOTION,New,,"$28,524",Est. $536/mo,Volkswagen of Downtown Chicago
2022 BMW 840 i,Used,"59,028 mi.","$49,949",Est. $939/mo,Midway Dodge
2017 FIAT 124 Spider Abarth,Used,"82,603 mi.","$16,998",Est. $319/mo,CarMax North Houston
2025 Chevrolet Equinox 1LT,New,,"$31,345",Est. $589/mo,Mike Anderson Chevrolet of Chicago
2025 Chevrolet Equinox FWD ACTIV,New,,"$35,430",Est. $666/mo,Currie Motors Chevrolet
2025 Chevrolet Equinox AWD ACTIV,New,,"$36,685",Est. $690/mo,Currie Motors Chevrolet
2024 Volkswagen Tiguan 2.0T S 4MOTION,New,,"$30,936",Est. $581/mo,City Volkswagen Of Evanston
2021 Genesis GV80,Used,"77,123 mi.","$33,998",Est. $639/mo,CarMax Charleston
2024 Ford Bronco Wildtrak,New,,"$59,805","Est. $1,124/mo",Golf Mill Ford
2020 Ford Fusion SE,Ford Certified,"33,467 mi.","$19,998",Est. $376/mo,Golf Mill Ford
2024 Ford Bronco Outer Banks,New,,"$55,884","Est. $1,050/mo",Roesch Ford
2021 INFINITI QX50 Luxe,INFINITI Certified,"37,821 mi.","$26,583",Est. $500/mo,INFINITI of Clarendon Hills
2007 BMW 328 328xi,Used,"120,056 mi.","$6,495",Est. $122/mo,Ed Napleton Acura Kia
2025 Hyundai Tucson SEL Convenience,New,,"$33,855",Est. $636/mo,Family Hyundai
2019 Chevrolet Silverado 1500 High Country,Used,"119,800 mi.","$29,999",Est. $564/mo,Dick Wickstrom Chevrolet
2022 BMW X5 xDrive40i,Used,"31,369 mi.","$42,999",Est. $808/mo,BMW of Orland Park
2024 Ford Bronco Outer Banks,New,,"$53,040",Est. $997/mo,Schaumburg Ford
2025 Nissan Versa 1.6 SR,New,,"$18,172",Est. $342/mo,Arlington Nissan
2024 Ford Bronco Big Bend,New,,"$44,295",Est. $833/mo,Webb Ford
2024 Nissan Versa 1.6 SR,New,,"$20,057",Est. $377/mo,Woodfield Nissan
2025 Mercedes-Benz Sprinter 2500 High Roof,New,,"$91,925","Est. $1,728/mo",Mercedes-Benz of Hoffman Estates
2024 Ford Bronco Badlands,New,,"$54,303","Est. $1,021/mo",Murgado Ford of Chicago
2025 Chevrolet Equinox 1LT,New,,"$29,573",Est. $556/mo,Currie Motors Chevrolet
2025 GMC Terrain AWD Elevation,New,,"$33,566",Est. $631/mo,Zeigler Buick GMC of Lincolnwood
2020 Buick Enclave Essence,Used,"59,139 mi.","$21,998",Est. $413/mo,CarMax Spokane
2015 Nissan Rogue SL,Used,"92,312 mi.","$13,000",Est. $244/mo,Al Piemonte Nissan
2010 Mercedes-Benz GLK-Class GLK 350 4MATIC,Used,"151,368 mi.","$6,400",Est. $120/mo,Berman Chrysler Dodge Jeep Ram
2017 Subaru Forester 2.5I Premium,Used,"53,558 mi.","$19,998",Est. $376/mo,CarMax Bakersfield
2014 Honda CR-V EX,Used,"79,725 mi.","$17,998",Est. $338/mo,CarMax Oak Lawn
2019 Chevrolet Blazer 2LT,Used,"95,016 mi.","$18,599",Est. $350/mo,Countryside Nissan
2024 Ford Bronco Wildtrak,New,,"$61,580","Est. $1,157/mo",Napleton Ford of Oak Lawn
2025 Acura RDX A-Spec Advance,New,,"$56,400","Est. $1,060/mo",McGrath Acura of Morton Grove
2017 GMC Acadia Denali,Used,"125,000 mi.","$14,900",Est. $280/mo,MOTOR DEALS USA
2012 Toyota Highlander SE,Used,"129,908 mi.","$11,999",Est. $226/mo,Your Choice Auto Sales of Posen
2018 Jaguar F-PACE 30t Premium,Used,"83,644 mi.","$15,800",Est. $297/mo,Haus of Imports
2018 Jaguar F-PACE 25t Prestige,Used,"75,002 mi.","$16,900",Est. $318/mo,Haus of Imports
2022 Ford Edge SEL,Used,"61,351 mi.","$18,447",Est. $347/mo,Napleton River Oaks Hyundai Kia
2020 Subaru Impreza Base,Used,"52,536 mi.","$19,995",Est. $376/mo,Lombard Toyota
2025 Chevrolet Equinox LT,New,,"$30,233",Est. $568/mo,Phillips Chevrolet of Lansing
2025 Hyundai Santa Fe SEL,New,,"$37,532",Est. $705/mo,Patrick Hyundai of Schaumburg
2024 Ford Bronco Black Diamond,New,,"$42,734",Est. $803/mo,Schaumburg Ford
2020 Chevrolet Silverado 1500 Custom,Used,"84,959 mi.","$26,998",Est. $507/mo,CarMax Tinley Park
2024 BMW 430 Gran Coupe i xDrive,BMW Certified,"15,268 mi.","$42,995",Est. $808/mo,Knauz Auto Park
2024 BMW 330 i xDrive,BMW Certified,"17,379 mi.","$38,488",Est. $723/mo,Perillo BMW
2025 Chevrolet Equinox 1LT,New,,"$30,765",Est. $578/mo,Currie Motors Chevrolet
2019 Land Rover Range Rover Sport HSE,Used,"63,330 mi.","$28,997",Est. $545/mo,Jaguar Land Rover Hinsdale
2014 Toyota Highlander Limited,Used,"27,425 mi.","$26,998",Est. $507/mo,CarMax Oceanside
2022 Hyundai Tucson SEL,Used,"39,388 mi.","$21,998",Est. $413/mo,CarMax Columbus
